,date,apple stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
1,20200908,-3.8147886392613644,-2.699449664447615,-3.6794294372257617,1,-0.7847790638978883,-0.7917674394411687,-0.19074030599659392,-0.7917674394411687,378,10789,0
2,20200909,2.2145072678156366,1.4990527231122588,1.6280745643882732,2,-0.3157894681052758,-0.2723437915706529,-1.4963836560514558,-0.2723437915706529,124,4531,1
3,20200910,1.4773002726001403,0.39912867681915115,0.5901913240333688,3,-0.20267068424624196,-0.507963226389066,-1.294294373200601,-0.507963226389066,105,4060,1
4,20200911,0.44521208628041314,0.395064266914463,0.5607640616831794,4,-0.801595105669095,-0.7377867603689522,0.3102802546579901,-0.7377867603689522,91,3096,1
5,20200914,1.308796160904163,0.804721538391864,1.1181529682468123,0,0.2411546068681254,-0.051378599980686245,0.39145618743499017,-0.051378599980686245,201,7862,1
6,20200915,1.4404401237121116,0.8769006118482903,0.9555949266744033,1,0.18509268273770232,0.010058898654239779,0.33229849372280806,0.010058898654239779,82,3427,1
7,20200916,-0.2867280255353879,0.2380612891870251,0.06567136858947743,2,-1.2827251263530561,-1.0537420417255314,-0.9192903809982012,-1.0537420417255314,187,11766,0
8,20200917,-1.3925365096311728,-1.9572818070549693,-2.34719947002225,3,-0.7123871483198697,-0.7831370596256083,-2.0521413039359895,-0.7831370596256083,141,8443,0
9,20200918,-0.09189351429585281,-0.1977668167986116,0.33050026233080176,4,-0.7972187835959953,-0.6155082986392597,0.16565982320410652,-0.6155082986392597,120,5157,1
10,20200921,-1.3346128445992818,-1.74388376506736,-1.746221328181084,0,0.14471128120001928,0.5629012592954251,0.23952746335765912,0.5629012592954251,243,10538,0
11,20200922,1.2456056124725765,0.4482981234709881,0.5946539922465202,1,-1.3185723558752758,-1.5094851171888293,0.8855998357750281,-1.5094851171888293,107,3358,1
12,20200923,-0.22353747710380148,-0.009625392457207926,-0.3101890396432583,2,0.3672549582145845,-0.19667895195195784,0.8478793383344082,-0.19667895195195784,107,3542,0
13,20200924,-1.1503161176140573,-0.7008063841349448,-0.8932259378747256,3,0.42507049597264457,0.8325597562718018,-0.13003124878504047,0.8325597562718018,110,3458,0
14,20200925,-0.012910350575019353,-0.6624643492346212,-0.1330491061787996,4,0.8064300441334386,0.9323071217475113,0.28446623248312347,0.9323071217475113,107,3305,1
