,date,google stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
1,20200908,-3.8147886392613644,-2.699449664447615,-3.6794294372257617,1,-0.4858620551444114,-0.2070646344508525,-0.046142850056332264,-0.2070646344508525,37,13320,0
2,20200909,2.2145072678156366,1.4990527231122588,1.6280745643882732,2,-1.4934379479284003,-1.3462181190330889,0.02779814799012902,-1.3462181190330889,17,4109,1
3,20200910,1.4773002726001403,0.39912867681915115,0.5901913240333688,3,-0.9402780216242171,-0.7240900903589335,2.908919322306839,-0.7240900903589335,11,4152,1
4,20200911,0.44521208628041314,0.395064266914463,0.5607640616831794,4,-0.2743271671394217,-0.30840024975497937,0.8802732598038022,-0.30840024975497937,18,4110,1
5,20200914,1.308796160904163,0.804721538391864,1.1181529682468123,0,-1.1619560201951424,-1.0563567010376416,1.702332928517764,-1.0563567010376416,33,9055,1
6,20200915,1.4404401237121116,0.8769006118482903,0.9555949266744033,1,-0.5720640789364347,-0.7265053069699915,2.266551517923695,-0.7265053069699915,15,4174,1
7,20200916,-0.2867280255353879,0.2380612891870251,0.06567136858947743,2,-0.18796945034837576,-0.06441265882847393,0.26062148808078456,-0.06441265882847393,15,4755,0
8,20200917,-1.3925365096311728,-1.9572818070549693,-2.34719947002225,3,-0.45506943978221936,-0.5234844807389194,-0.22618367116674581,-0.5234844807389194,20,4425,0
9,20200918,-0.09189351429585281,-0.1977668167986116,0.33050026233080176,4,-0.9278533358750781,-0.8449460081799689,1.4463776762728904,-0.8449460081799689,22,4098,1
10,20200921,-1.3346128445992818,-1.74388376506736,-1.746221328181084,0,-0.9269437812190614,-0.8164673713684819,-0.27987688907206926,-0.8164673713684819,22,10432,0
11,20200922,1.2456056124725765,0.4482981234709881,0.5946539922465202,1,-0.7423633878299948,-0.6282494384670844,0.016103457092503385,-0.6282494384670844,13,3836,1
12,20200923,-0.22353747710380148,-0.009625392457207926,-0.3101890396432583,2,-1.0327481302287318,-0.9664252758699999,0.969470072623348,-0.9664252758699999,9,4181,0
13,20200924,-1.1503161176140573,-0.7008063841349448,-0.8932259378747256,3,-0.4479421602714199,-0.27161732485822837,0.8935865709913787,-0.27161732485822837,16,4102,0
14,20200925,-0.012910350575019353,-0.6624643492346212,-0.1330491061787996,4,0.7775347342553602,-0.1400006978580057,1.0270152464209903,-0.1400006978580057,18,4410,1
15,20200928,1.3140630443038583,1.3844561901898325,1.2381345202800973,0,-0.5524986587259635,-0.32998993589561704,1.8353093493817858,-0.32998993589561704,26,11288,1
16,20200929,-0.33938480716758346,-0.2451408737093532,-0.27402660644739035,1,-0.6063338379434582,-0.6928575799736634,0.05674942225392369,-0.6928575799736634,13,4257,0
17,20200930,-0.28146114213569245,0.0445116663003589,-0.13760234514904435,2,-2.334110945760464,-2.0043807264813585,1.542795876744552,-2.0043807264813585,16,4500,0
18,20201001,0.8401439747042592,0.8173553545454609,0.8474287415892218,3,-0.28291450099660814,-0.2600681837472818,-0.2873896104638625,-0.2600681837472818,24,5686,1
19,20201002,-2.1771374205340894,-2.1030167865913616,-2.2591729278325814,4,-2.497346405624308,-1.8881484270742084,-0.3961440441143507,-1.8881484270742084,14,5386,0
20,20201005,0.3451654064157175,0.6359879467118709,0.5912040697717778,0,-0.6734202212999639,-0.7628449440785486,0.178492833697723,-0.7628449440785486,21,10497,1
21,20201006,-0.5447530852065094,-0.20814262744960405,-0.3535312637650818,1,0.16179314203305042,0.14005507866630895,0.19988701304303902,0.14005507866630895,12,4436,0
22,20201007,0.6453094634647241,0.849837589800001,0.7850337236570071,2,0.4018994252808471,-0.0994074902874546,-0.8884905111832271,-0.0994074902874546,14,4690,1
23,20201008,0.4926019845129132,0.4550721399788016,0.46186079493710347,3,0.4502403715550655,0.6981444424789088,-0.7742874681526345,0.6981444424789088,20,5234,1
24,20201009,0.03974643105717618,0.36482902250153915,0.3595817090629979,4,2.0588119996317396,2.1141697767064347,-0.42600502444046656,2.1141697767064347,11,4976,1
25,20201012,1.5036266546887782,0.8178069556459818,1.082739802223263,0,1.5250421060399832,2.8425406888848905,0.9601124429918343,2.8425406888848905,39,10525,1
26,20201013,0.33462762216140696,-0.22392663664585905,0.012893318319551778,1,1.0958923188117733,1.6214750967774845,-0.8848542603576588,1.6214750967774845,22,4402,1
27,20201014,-0.1761475788713014,-0.054741443865345005,0.010110325965224966,2,1.2650834290523594,1.7051224609776603,1.089625591535829,1.7051224609776603,21,4617,0
28,20201015,-1.424133792574426,-1.7912578219781017,-1.962990084726534,3,1.3848758242193093,0.8671192723482011,-0.3087530099517856,0.8671192723482011,20,4826,0
29,20201016,0.17665727726482033,0.24392108883280852,0.2022603039916298,4,-0.3790635775039466,-0.346577787917958,-0.8137085204298501,-0.346577787917958,24,4835,1
30,20201019,0.37149178850435544,0.22993246937764883,0.3103523857300985,0,0.11829597795063777,0.009062004713005535,-0.5232176952775269,0.009062004713005535,26,10964,1
31,20201020,-0.007647484630243572,0.34769021000372147,0.24433453751414463,1,-0.2635151533184274,-0.6395627915979238,-1.303626880166101,-0.6395627915979238,18,4873,1
32,20201021,-0.5658166013503716,-0.3592858055312586,-0.08491486563621216,2,-0.7070845075330119,-0.4611104024068934,-0.5268467954964934,-0.4611104024068934,24,7464,0
33,20201022,0.1819201432095961,-0.08181548057462258,0.15436484089956154,3,0.6769602022000547,0.6985942052572677,-1.7303321439017587,0.6985942052572677,25,7027,1
