,date,facebook stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
1,20200908,-2.8843572047362263,-2.699449664447615,-3.6794294372257617,1,-0.2647109443999867,-0.42925717393947843,-0.1313687265113958,-0.42925717393947843,7332,14889,0
2,20200909,0.9610360537332081,1.4990527231122588,1.6280745643882732,2,-0.2827519566060366,-0.4909276000699995,-0.058978066510015345,-0.4909276000699995,2085,3799,1
3,20200910,0.28582301202926286,0.39912867681915115,0.5901913240333688,3,-0.46553968989781946,-0.5432988615859873,-0.9964363392720774,-0.5432988615859873,1975,4449,1
4,20200911,0.3289203175859954,0.395064266914463,0.5607640616831794,4,-0.8315917361676307,-0.8071704220076228,0.05243303574946669,-0.8071704220076228,1810,4173,1
5,20200914,0.8963974025031547,0.804721538391864,1.1181529682468123,0,-0.9184818159246761,-0.996448219912895,0.314179696322751,-0.996448219912895,5383,9989,1
6,20200915,0.9394947080598872,0.8769006118482903,0.9555949266744033,1,-0.7547331628532188,-0.849537039269413,0.019537757388902233,-0.849537039269413,1815,4115,1
7,20200916,-1.3710995925005585,0.2380612891870251,0.06567136858947743,2,-1.2969546613615421,-1.2225566032434345,-1.6598334865615054,-1.2225566032434345,2025,4917,0
8,20200917,-1.3974343990835467,-1.9572818070549693,-2.34719947002225,3,-0.4639376966050492,-0.6212541300665992,-0.13048508923078098,-0.6212541300665992,2001,4883,0
9,20200918,0.714413951351845,-0.1977668167986116,0.33050026233080176,4,-1.6187493567004032,-1.4319766309520288,-0.19513779574765444,-1.4319766309520288,2026,5334,1
10,20200921,-1.3375782481055924,-1.74388376506736,-1.746221328181084,0,-0.4062826863945755,-0.5775255612951384,0.12651924788002206,-0.5775255612951384,5191,11118,0
11,20200922,1.0927320079632845,0.4482981234709881,0.5946539922465202,1,-1.211883537819834,-1.1417405066078081,0.9628604845116716,-1.1417405066078081,1696,4191,1
12,20200923,-0.020662548435099844,-0.009625392457207926,-0.3101890396432583,2,-1.1607642018391673,-1.124444097348369,-1.2643839243667487,-1.124444097348369,2003,4834,1
13,20200924,-0.7461630870602785,-0.7008063841349448,-0.8932259378747256,3,-1.2641663155959666,-1.1945964994419171,-2.4333542352145625,-1.1945964994419171,1783,5159,0
14,20200925,-0.17390350189101988,-0.6624643492346212,-0.1330491061787996,4,-0.6049318836432209,-0.7428631624527491,-0.8060815860293223,-0.7428631624527491,2011,4467,0
15,20200928,0.9538531694737528,1.3844561901898325,1.2381345202800973,0,-0.7493875423883999,-0.8354629954412024,-1.1037324977041008,-0.8354629954412024,5203,10744,1
16,20200929,0.09426725326870952,-0.2451408737093532,-0.27402660644739035,1,-0.9688344335521375,-0.986055547913685,-0.8555298423440924,-0.986055547913685,1759,3945,1
17,20200930,-0.09728119838679855,0.0445116663003589,-0.13760234514904435,2,-0.8993603828664953,-0.992876648980349,-0.267657948710718,-0.992876648980349,1964,4188,1
18,20201001,0.683292990964235,0.8173553545454609,0.8474287415892218,3,-1.8306882421286144,-1.5873483764547394,0.7912121962002395,-1.5873483764547394,1922,3984,1
19,20201002,-1.4405390117453245,-2.1030167865913616,-2.2591729278325814,4,-0.4807859684219361,-0.6320118767565414,-0.06103622696594814,-0.6320118767565414,1980,4479,0
20,20201005,0.39835973683076126,0.6359879467118709,0.5912040697717778,0,-1.0362721653679325,-1.0458368452170872,1.2923956436065378,-1.0458368452170872,5121,11315,1
21,20201006,-0.8299646212714326,-0.20814262744960405,-0.3535312637650818,1,-0.9191572442429792,-0.9204405191180751,1.1566991954061274,-0.9204405191180751,1711,3533,0
22,20201007,-0.011086587273333486,0.849837589800001,0.7850337236570071,2,-0.7793427893413751,-0.8418644677785027,-2.1897168965475142,-0.8418644677785027,1906,4862,1
23,20201008,0.24751186027715216,0.4550721399788016,0.46186079493710347,3,-0.45211407516067936,-0.7286417992262264,-1.4739977453510547,-0.7286417992262264,1934,4964,1
24,20201009,0.03919360254285447,0.36482902250153915,0.3595817090629979,4,-1.1658414414085807,-1.1461762787049905,-0.35138948926498376,-1.1461762787049905,1946,4452,1
25,20201012,1.2340002698026047,0.8178069556459818,1.082739802223263,0,-0.6471762415395528,-0.8102784013903428,0.8973229837327904,-0.8102784013903428,4914,10127,1
26,20201013,0.29539531963850657,-0.22392663664585905,0.012893318319551778,1,-0.45050938544913843,-0.5028219997185155,0.4124352988996789,-0.5028219997185155,1597,4222,1
27,20201014,0.21159013187482983,-0.054741443865345005,0.010110325965224966,2,0.6337611617989904,0.4901093761777914,0.03612154543161506,0.4901093761777914,873,4294,1
28,20201015,-1.153209027157017,-1.7912578219781017,-1.962990084726534,3,1.5151779119171946,1.451766332465541,-0.4440522919565968,1.451766332465541,922,5487,0
29,20201016,0.015255526414699879,0.24392108883280852,0.2022603039916298,4,-0.04129549311042091,0.18276740739369726,-2.806729540024517,0.18276740739369726,976,6453,1
30,20201019,-0.23854946022611867,0.22993246937764883,0.3103523857300985,0,1.5364860656110257,1.425650315620727,1.1449246583206218,1.425650315620727,2468,11054,0
31,20201020,0.2546947445366076,0.34769021000372147,0.24433453751414463,1,0.5413160418447323,0.5110282713856552,0.22718503685851132,0.5110282713856552,861,4092,1
32,20201021,2.730495383064528,-0.3592858055312586,-0.08491486563621216,2,1.7112822550577353,1.7287770162512652,-0.15614422954949136,1.7287770162512652,877,4179,1
33,20201022,0.13018167456598664,-0.08181548057462258,0.15436484089956154,3,0.4564990136266245,0.3903152826035546,-0.44117843651377425,0.3903152826035546,915,4658,1
