,date,amazon stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
1,20200908,-3.7315855365900856,-2.699449664447615,-3.6794294372257617,1,-0.20904711125011827,-0.13012302854762053,-1.411171485730371,-0.13012302854762053,157,37871,0
2,20200909,1.0535572855800557,1.4990527231122588,1.6280745643882732,2,-0.6752426523180398,-1.1379397304465055,-0.645087017708017,-1.1379397304465055,50,9638,1
3,20200910,0.7121127310079578,0.39912867681915115,0.5901913240333688,3,-1.7158273591149449,-1.5551117120634257,-0.497069203165549,-1.5551117120634257,57,9440,1
4,20200911,0.5939922703012459,0.395064266914463,0.5607640616831794,4,-1.4659248786239378,-1.451210460419287,-0.8917436775227581,-1.451210460419287,65,9439,1
5,20200914,1.1373934015298808,0.804721538391864,1.1181529682468123,0,0.26029711846267956,-0.5694056966325463,-0.3728035670378035,-0.5694056966325463,96,26609,1
6,20200915,0.5848364009740306,0.8769006118482903,0.9555949266744033,1,0.64439244570672,-0.3020047627741178,-0.564467435234883,-0.3020047627741178,55,9753,1
7,20200916,0.3657433851070697,0.2380612891870251,0.06567136858947743,2,-2.459645682998002,-2.0418141816471445,-1.3607492232936074,-2.0418141816471445,56,10321,1
8,20200917,-1.8113755718034519,-1.9572818070549693,-2.34719947002225,3,0.26847051084324824,0.5297244449446832,-0.8573501886827453,0.5297244449446832,65,10362,0
9,20200918,0.3457804940630096,-0.1977668167986116,0.33050026233080176,4,-0.19336955201953201,-0.6807822369557375,-1.1140180805467026,-0.6807822369557375,100,10526,1
10,20200921,-1.3313775457029793,-1.74388376506736,-1.746221328181084,0,0.14137742417497987,0.4668230327917649,-1.1599470112342194,0.4668230327917649,143,29612,0
11,20200922,1.5283897272949174,0.4482981234709881,0.5946539922465202,1,-1.7668831865058456,-1.7034840526444783,-1.8256398915819347,-1.7034840526444783,49,10606,1
12,20200923,-0.3955811957125387,-0.009625392457207926,-0.3101890396432583,2,-0.3480368001482442,-0.05656994583544582,-1.388659890437767,-0.05656994583544582,86,10384,0
13,20200924,-0.7128375144101708,-0.7008063841349448,-0.8932259378747256,3,-0.5857634662088579,0.14180859174490276,-0.60544466004279,0.14180859174490276,77,9543,0
14,20200925,0.6289875278925564,-0.6624643492346212,-0.1330491061787996,4,0.3554084594555465,0.767406456132,-0.8247750422404495,0.767406456132,54,10706,1
15,20200928,1.0669499660737158,1.3844561901898325,1.2381345202800973,0,0.16719016603293782,0.38790156999949066,-0.7173074030676161,0.38790156999949066,92,29837,1
16,20200929,-0.16310123251993724,-0.2451408737093532,-0.27402660644739035,1,0.9228071379884095,1.4520682917808039,0.10212905081103385,1.4520682917808039,84,10823,1
17,20200930,-0.28239125950263655,0.0445116663003589,-0.13760234514904435,2,-1.41631628794379,-1.27134724077638,0.31142359622779786,-1.27134724077638,67,11197,0
18,20201001,1.1972763414940417,0.8173553545454609,0.8474287415892218,3,-0.31051022447349097,-0.04119223092681267,0.4404254624748524,-0.04119223092681267,71,10767,1
19,20201002,-1.782726931209779,-2.1030167865913616,-2.2591729278325814,4,0.17029822365030556,-0.07498423685064251,0.09118025588696489,-0.07498423685064251,77,10295,0
20,20201005,0.2948240967052823,0.6359879467118709,0.5912040697717778,0,0.016561520849672728,0.2430642185128973,-0.009759660769461451,0.2430642185128973,87,27945,1
21,20201006,-0.9976842342933079,-0.20814262744960405,-0.3535312637650818,1,0.640798924588366,0.7404903260972147,0.7896432664706271,0.7404903260972147,55,9767,0
22,20201007,0.6282823482261521,0.849837589800001,0.7850337236570071,2,0.4151610064432994,0.25598119771356087,0.820393179631535,0.25598119771356087,60,10546,1
23,20201008,0.4934898349185997,0.4550721399788016,0.46186079493710347,3,0.8995388233866799,0.7925916752946056,0.029200513931919716,0.7925916752946056,67,10888,1
24,20201009,0.2621794380019858,0.36482902250153915,0.3595817090629979,4,-0.08196947769201571,0.8356767028924367,0.7397008054337663,0.8356767028924367,61,10807,1
25,20201012,1.2916786861038907,0.8178069556459818,1.082739802223263,0,0.8927332020993426,0.506543165520116,0.7983771533982237,0.506543165520116,125,30184,1
26,20201013,0.3939219059231396,-0.22392663664585905,0.012893318319551778,1,0.19279361970490963,-0.21402482563450242,0.6038020270114185,-0.21402482563450242,88,12625,1
27,20201014,-0.11542420726939043,-0.054741443865345005,0.010110325965224966,2,-0.2898428517488343,0.19176387344525467,0.1202769860748267,0.19176387344525467,95,18196,1
28,20201015,-1.8782988420956155,-1.7912578219781017,-1.962990084726534,3,0.5274157537853955,0.9603902689834555,-0.6420347170339582,0.9603902689834555,78,14522,0
29,20201016,0.3826504975967116,0.24392108883280852,0.2022603039916298,4,0.03186601001903909,-0.10869925020487536,0.06444587111952582,-0.10869925020487536,69,10621,1
30,20201019,0.4371327932864599,0.22993246937764883,0.3103523857300985,0,0.31707586665262577,0.2735936766175221,0.18869197718531144,0.2735936766175221,255,29677,1
31,20201020,0.15932640373132564,0.34769021000372147,0.24433453751414463,1,0.8138664316156625,0.8254204061416658,0.022198974545845754,0.8254204061416658,141,10165,1
32,20201021,-0.3004736714362855,-0.3592858055312586,-0.08491486563621216,2,0.887182515380957,0.8554816077711087,0.45264832426507595,0.8554816077711087,135,10407,0
33,20201022,-0.07878926362448974,-0.08181548057462258,0.15436484089956154,3,0.8881418633669393,0.8768669595053084,0.6605184729313639,0.8768669595053084,127,10845,1
34,20201023,0.14829005529369907,0.3003161530929799,0.05083423183652797,4,0.8178212529070786,1.2889787272407243,0.5925529288404122,1.2889787272407243,135,10582,1
