,date,microsoft stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
1,20200908,-3.8147886392613644,-2.699449664447615,-3.6794294372257617,1,0.22766190933907424,0.23880316997751416,0.21764017716731116,0.23880316997751416,161,4730,0
2,20200909,2.2145072678156366,1.4990527231122588,1.6280745643882732,2,-0.4800506731432769,-0.4411998583155956,-0.3172596940335267,-0.4411998583155956,57,3038,1
3,20200910,1.4773002726001403,0.39912867681915115,0.5901913240333688,3,-0.1474357428382989,0.36064454301001947,-1.075623772663054,0.36064454301001947,60,2630,1
4,20200911,0.44521208628041314,0.395064266914463,0.5607640616831794,4,0.2375570218475665,0.4018671100250058,-0.47752347168633175,0.4018671100250058,45,2362,1
5,20200914,1.308796160904163,0.804721538391864,1.1181529682468123,0,0.7724528348406515,1.2103373509526925,-1.611365849121558,1.2103373509526925,101,4181,1
6,20200915,1.4404401237121116,0.8769006118482903,0.9555949266744033,1,-0.7508437284038799,-1.032172006301611,-2.4211680990972257,-1.032172006301611,91,3181,1
7,20200916,-0.2867280255353879,0.2380612891870251,0.06567136858947743,2,-0.7070690446369705,-0.45456807812232475,0.022856573637852724,-0.45456807812232475,92,2740,0
8,20200917,-1.3925365096311728,-1.9572818070549693,-2.34719947002225,3,-0.023385764388762706,0.10158884969069248,0.029212998417756382,0.10158884969069248,74,2379,0
9,20200918,-0.09189351429585281,-0.1977668167986116,0.33050026233080176,4,-0.3206242649964528,-0.30070604834579706,0.8384624636805337,-0.30070604834579706,71,2109,1
10,20200921,-1.3346128445992818,-1.74388376506736,-1.746221328181084,0,1.358653736582829,2.874249813665366,0.07253079960108859,2.874249813665366,145,3601,0
11,20200922,1.2456056124725765,0.4482981234709881,0.5946539922465202,1,-0.7440370314832526,-0.6814353097943406,-2.7360041426508426,-0.6814353097943406,59,5142,1
12,20200923,-0.22353747710380148,-0.009625392457207926,-0.3101890396432583,2,1.0198674308551634,1.2578320991731964,-0.6007903063881957,1.2578320991731964,84,4688,0
13,20200924,-1.1503161176140573,-0.7008063841349448,-0.8932259378747256,3,0.3193638372411455,0.6891598051148765,0.24357743621654765,0.6891598051148765,66,3239,0
14,20200925,-0.012910350575019353,-0.6624643492346212,-0.1330491061787996,4,0.8477744743712488,1.0493045245885761,-0.1298306822706493,1.0493045245885761,53,2727,1
15,20200928,1.3140630443038583,1.3844561901898325,1.2381345202800973,0,0.7176348970512308,0.9894292628521152,-0.996339642514255,0.9894292628521152,83,4325,1
16,20200929,-0.33938480716758346,-0.2451408737093532,-0.27402660644739035,1,-1.1790003642172715,-0.9409816184392525,-0.5823679387599928,-0.9409816184392525,63,2286,0
17,20200930,-0.28146114213569245,0.0445116663003589,-0.13760234514904435,2,-2.574540087864027,-2.4172901258470687,-0.6062134572110803,-2.4172901258470687,61,2809,0
18,20201001,0.8401439747042592,0.8173553545454609,0.8474287415892218,3,0.09924577441019664,0.003875891744854098,0.5331118837868383,0.003875891744854098,57,2357,1
19,20201002,-2.1771374205340894,-2.1030167865913616,-2.2591729278325814,4,-0.858230485985188,-0.9932585834448877,-1.1648095168754173,-0.9932585834448877,52,2394,0
20,20201005,0.3451654064157175,0.6359879467118709,0.5912040697717778,0,-0.4655736410274995,-0.3710424510573511,-0.7207894421436665,-0.3710424510573511,82,3779,1
21,20201006,-0.5447530852065094,-0.20814262744960405,-0.3535312637650818,1,-0.19971573234714157,-0.709008631942861,-1.4548354379017567,-0.709008631942861,39,2304,0
22,20201007,0.6453094634647241,0.849837589800001,0.7850337236570071,2,-0.3424258055629368,-0.38941130231961263,0.5789293534539296,-0.38941130231961263,45,2294,1
23,20201008,0.4926019845129132,0.4550721399788016,0.46186079493710347,3,1.955636051069588,1.7273521970718524,0.7816267952449317,1.7273521970718524,54,2228,1
24,20201009,0.03974643105717618,0.36482902250153915,0.3595817090629979,4,0.5252772788225445,0.9833455761434712,0.4937537559171441,0.9833455761434712,45,1970,1
25,20201012,1.5036266546887782,0.8178069556459818,1.082739802223263,0,2.5527118980278396,1.9888113755360768,-1.1794414279639909,1.9888113755360768,80,4260,1
26,20201013,0.33462762216140696,-0.22392663664585905,0.012893318319551778,1,-0.4105653681597033,-0.38088001360485346,-1.6743304278733213,-0.38088001360485346,48,1955,1
27,20201014,-0.1761475788713014,-0.054741443865345005,0.010110325965224966,2,0.9589495140807152,1.8946053419960278,0.16593187712388355,1.8946053419960278,58,2674,0
28,20201015,-1.424133792574426,-1.7912578219781017,-1.962990084726534,3,2.0043258185707598,0.6296285117199993,0.42083199056215304,0.6296285117199993,55,2368,0
29,20201016,0.17665727726482033,0.24392108883280852,0.2022603039916298,4,-0.17400799747264806,-0.4001358725999341,0.7031409691100573,-0.4001358725999341,41,1905,1
30,20201019,0.37149178850435544,0.22993246937764883,0.3103523857300985,0,0.5543254017567594,0.46494186088988515,-0.7681833450526828,0.46494186088988515,70,3500,1
31,20201020,-0.007647484630243572,0.34769021000372147,0.24433453751414463,1,-0.8463928070578863,-1.0386134167643963,-1.0681010436280773,-1.0386134167643963,46,1899,1
32,20201021,-0.5658166013503716,-0.3592858055312586,-0.08491486563621216,2,0.44301040339927034,0.4127140414379302,-0.42987176191475596,0.4127140414379302,55,2381,0
33,20201022,0.1819201432095961,-0.08181548057462258,0.15436484089956154,3,-0.7760469207385677,-1.205757641530181,0.5522143915011098,-1.205757641530181,45,2339,1
34,20201023,0.21351742615284916,0.3003161530929799,0.05083423183652797,4,0.07488255019754433,0.05928783554940959,0.31233912885944254,0.05928783554940959,46,2135,1
