,date,apple stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
1,20200908,-3.8147886392613644,-2.699449664447615,-3.6794294372257617,1,-0.7917674394411687,-0.09720383494923533,-0.43408006291091783,-0.09720383494923533,378.0,10789.0,0
2,20200909,2.2145072678156366,1.4990527231122588,1.6280745643882732,2,-0.2723437915706529,-1.0659442352168347,2.304463837033365,-1.0659442352168347,124.0,4531.0,1
3,20200910,1.4773002726001403,0.39912867681915115,0.5901913240333688,3,-0.507963226389066,0.6633161770402629,0.9891217928139242,0.6633161770402629,105.0,4060.0,1
4,20200911,0.44521208628041314,0.395064266914463,0.5607640616831794,4,-0.7377867603689522,0.2218349400654115,-0.3852560060372175,0.2218349400654115,91.0,3096.0,1
5,20200914,1.308796160904163,0.804721538391864,1.1181529682468123,0,-0.051378599980686245,0.6663929442596942,-0.2144504151815237,0.6663929442596942,201.0,7862.0,1
6,20200915,1.4404401237121116,0.8769006118482903,0.9555949266744033,1,0.010058898654239779,0.8868720529716796,0.7222806561424141,0.8868720529716796,82.0,3427.0,1
7,20200916,-0.2867280255353879,0.2380612891870251,0.06567136858947743,2,-1.0537420417255314,-0.6967320840208436,0.4930504115387643,-0.6967320840208436,187.0,11766.0,0
8,20200917,-1.3925365096311728,-1.9572818070549693,-2.34719947002225,3,-0.7831370596256083,0.8688985769252697,1.4416888893899633,0.8688985769252697,141.0,8443.0,0
9,20200918,-0.09189351429585281,-0.1977668167986116,0.33050026233080176,4,-0.6155082986392597,0.18630992893200515,-1.3014497760577897,0.18630992893200515,120.0,5157.0,1
10,20200921,-1.3346128445992818,-1.74388376506736,-1.746221328181084,0,0.5629012592954251,-1.5808139065232254,-1.7933291734629442,-1.5808139065232254,243.0,10538.0,0
11,20200922,1.2456056124725765,0.4482981234709881,0.5946539922465202,1,-1.5094851171888293,1.1617462252365258,-1.0183682132158691,1.1617462252365258,107.0,3358.0,1
12,20200923,-0.22353747710380148,-0.009625392457207926,-0.3101890396432583,2,-0.19667895195195784,1.9481691970977624,-1.158089873660163,1.9481691970977624,107.0,3542.0,0
13,20200924,-1.1503161176140573,-0.7008063841349448,-0.8932259378747256,3,0.8325597562718018,-1.6962558446854976,-0.07612685110784122,-1.6962558446854976,110.0,3458.0,0
14,20200925,-0.012910350575019353,-0.6624643492346212,-0.1330491061787996,4,0.9323071217475113,-0.9364271274061367,0.04548947981604453,-0.9364271274061367,107.0,3305.0,1
15,20200928,1.3140630443038583,1.3844561901898325,1.2381345202800973,0,0.2403082631929256,0.6147733219042822,-0.015207130414191203,0.6147733219042822,183.0,8637.0,1
16,20200929,-0.33938480716758346,-0.2451408737093532,-0.27402660644739035,1,0.4226075240056989,0.6259566196151773,-0.3558226771394129,0.6259566196151773,99.0,3150.0,0
17,20200930,-0.28146114213569245,0.0445116663003589,-0.13760234514904435,2,-0.5151199717337495,1.1642629955759383,0.25057740738902823,1.1642629955759383,81.0,3293.0,0
18,20201001,0.8401439747042592,0.8173553545454609,0.8474287415892218,3,0.22795104502914587,0.6729596189435506,-0.18972960447855752,0.6729596189435506,101.0,3417.0,1
19,20201002,-2.1771374205340894,-2.1030167865913616,-2.2591729278325814,4,0.17708080061468903,0.880979418681749,0.10795512705767413,0.880979418681749,79.0,2747.0,0
20,20201005,0.3451654064157175,0.6359879467118709,0.5912040697717778,0,-0.061141308435475814,0.3194542650901944,0.018759611960406198,0.3194542650901944,149.0,7628.0,1
21,20201006,-0.5447530852065094,-0.20814262744960405,-0.3535312637650818,1,0.8137194175014777,-0.8170657801288614,0.35294803888960374,-0.8170657801288614,73.0,3883.0,0
22,20201007,0.6453094634647241,0.849837589800001,0.7850337236570071,2,-0.42877336545936057,1.3673731378856824,2.141120341833314,1.3673731378856824,90.0,4650.0,1
23,20201008,0.4926019845129132,0.4550721399788016,0.46186079493710347,3,-0.3993517815277211,1.6308848329813324,1.2537581753704303,1.6308848329813324,89.0,4457.0,1
24,20201009,0.03974643105717618,0.36482902250153915,0.3595817090629979,4,-0.4645646225098587,-1.5027875727445124,0.6473996596656233,-1.5027875727445124,87.0,3697.0,1
25,20201012,1.5036266546887782,0.8178069556459818,1.082739802223263,0,0.22221835946430255,0.4878084651662191,-0.7973466732272443,0.4878084651662191,149.0,8757.0,1
26,20201013,0.33462762216140696,-0.22392663664585905,0.012893318319551778,1,0.16714913909882864,0.3466545265903829,0.6102043249177176,0.3466545265903829,172.0,3961.0,1
27,20201014,-0.1761475788713014,-0.054741443865345005,0.010110325965224966,2,-0.41095638560366227,-0.30050033188129827,-0.07650419477422109,-0.30050033188129827,259.0,20385.0,0
28,20201015,-1.424133792574426,-1.7912578219781017,-1.962990084726534,3,-0.26728655312609695,-0.25274356074222193,-0.9205211309925323,-0.25274356074222193,150.0,10417.0,0
29,20201016,0.17665727726482033,0.24392108883280852,0.2022603039916298,4,0.37642302815766343,1.2453422638621525,-2.0123210391005735,1.2453422638621525,89.0,4961.0,1
30,20201019,0.37149178850435544,0.22993246937764883,0.3103523857300985,0,0.8031390766046925,-0.1752071971525743,-0.7378378216574392,-0.1752071971525743,146.0,11549.0,1
31,20201020,-0.007647484630243572,0.34769021000372147,0.24433453751414463,1,0.40263190629684364,0.2083530790317897,-0.7556884829550014,0.2083530790317897,85.0,3534.0,1
32,20201021,-0.5658166013503716,-0.3592858055312586,-0.08491486563621216,2,0.24983879828322528,-0.759752463149403,-0.8384275581875492,-0.759752463149403,100.0,4588.0,0
