,date,google stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
1,20200908,-2.7775973869900006,-2.699449664447615,-3.6794294372257617,1,-0.20706463445085213,-0.24715621232665005,0.20700379154938875,-0.24715621232665005,2.5716499637110153,2.7828986851549713,0
2,20200909,0.9590571901586918,1.4990527231122588,1.6280745643882732,2,-1.3462181190330884,0.6778131537087524,0.2310147395532523,0.6778131537087524,-0.2960172620099013,-0.6096865677966038,1
3,20200910,-0.010924890842588651,0.39912867681915115,0.5901913240333688,3,-0.7240900903589331,-1.4846701662622532,-1.2677005263708667,-1.4846701662622532,-1.1563174297261762,-0.5938488557265877,1
4,20200911,0.0026316846580947744,0.395064266914463,0.5607640616831794,4,-0.30840024975497904,0.8303253441626307,-1.7644505020519523,0.8303253441626307,-0.1526339007238555,-0.6093182489112546,1
5,20200914,0.649214677412913,0.804721538391864,1.1181529682468123,0,-1.0563567010376411,0.9226147213364736,-1.3417026312221874,0.9226147213364736,1.998116518566832,1.2120186391405898,1
6,20200915,0.5784744028934738,0.8769006118482903,0.9555949266744033,1,-0.7265053069699912,1.385242641282909,-0.5218507766644104,1.385242641282909,-0.582783984581993,-0.5857458402489052,1
7,20200916,0.4600571365541708,0.2380612891870251,0.06567136858947743,2,-0.06441265882847358,-0.015598749574580512,-0.15786446170816845,-0.015598749574580512,-0.582783984581993,-0.371752567861014,1
8,20200917,-1.302733563542633,-1.9572818070549693,-2.34719947002225,3,-0.5234844807389191,0.7471805451292202,0.4050450376261691,0.7471805451292202,0.1341328218482362,-0.4932978000262534,0
9,20200918,-0.06516774544056128,-0.1977668167986116,0.33050026233080176,4,-0.8449460081799686,0.6062663078063613,0.11679118923501945,0.6062663078063613,0.42089954442032784,-0.6137380755354451,1
10,20200921,-1.0780872584916255,-1.74388376506736,-1.746221328181084,0,-0.8164673713684816,0.08087486261555786,-1.5348194316745087,0.08087486261555786,0.42089954442032784,1.7191937442664522,0
11,20200922,0.6783637976286683,0.4482981234709881,0.5946539922465202,1,-0.628249438467084,-0.012686397410638503,0.02518672631676157,-0.012686397410638503,-0.8695507071540847,-0.7102376234969382,1
12,20200923,-0.4791922926201636,-0.009625392457207926,-0.3101890396432583,2,-0.9664252758699996,1.2404816072515352,0.3666815795483882,1.2404816072515352,-1.443084152298268,-0.5831676080514607,0
13,20200924,-0.3661932424557368,-0.7008063841349448,-0.8932259378747256,3,-0.27161732485822804,0.2556889959322983,0.31377625012258126,0.2556889959322983,-0.43940062329594715,-0.6122647999940483,0
14,20200925,0.01890288577796267,-0.6624643492346212,-0.1330491061787996,4,-0.14000069785800534,1.3759630878193652,0.6993915391293761,1.3759630878193652,-0.1526339007238555,-0.49882258330649154,1
15,20200928,1.1448269665252,1.3844561901898325,1.2381345202800973,0,-0.3299899358956167,-0.49322450446154464,-0.7254046164129668,-0.49322450446154464,0.9944329895645112,2.034474710125376,1
16,20200929,0.08805962868621096,-0.2451408737093532,-0.27402660644739035,1,-0.692857579973663,0.9766567641647634,0.4942126919467992,0.9766567641647634,-0.8695507071540847,-0.5551753727649207,1
17,20200930,-0.2916127658408659,0.0445116663003589,-0.13760234514904435,2,-2.004380726481358,1.4959013163357473,-0.11961828473334392,1.4959013163357473,-0.43940062329594715,-0.4656738836250626,0
18,20201001,0.4858184922776917,0.8173553545454609,0.8474287415892218,3,-0.26006818374728147,-0.1751142736130064,0.4708575643893665,-0.1751142736130064,0.7076662669924195,-0.028847685600899325,1
19,20201002,-1.445560390327611,-2.1030167865913616,-2.2591729278325814,4,-1.888148427074208,1.1466255522202016,0.9920652336428535,1.1466255522202016,-0.7261673458680388,-0.13934335120566238,0
20,20201005,0.1748393679921731,0.6359879467118709,0.5912040697717778,0,-0.7628449440785483,0.7537027455636098,0.9918652631244284,0.7537027455636098,0.277516183134282,1.743134471814151,1
21,20201006,-0.6491488230017475,-0.20814262744960405,-0.3535312637650818,1,0.1400550786663093,-1.3234590147273064,0.6441195344318134,-1.3234590147273064,-1.0129340684401305,-0.48924629228741207,0
22,20201007,0.31315837134041596,0.849837589800001,0.7850337236570071,2,-0.09940749028745426,0.7004115956729301,1.3447260945443433,0.7004115956729301,-0.7261673458680388,-0.3956932954087127,1
23,20201008,0.03969294539805837,0.4550721399788016,0.46186079493710347,3,0.6981444424789092,-0.6141299479735548,0.18134534600209828,-0.6141299479735548,0.1341328218482362,-0.19532782177874233,1
24,20201009,0.21913411285154896,0.36482902250153915,0.3595817090629979,4,2.114169776706435,-0.2972247612356294,-0.22719010958279892,-0.2972247612356294,-1.1563174297261762,-0.29035409419883856,1
25,20201012,1.078384849236136,0.8178069556459818,1.082739802223263,0,2.842540688884891,-2.311731458595375,0.09325728360954703,-2.311731458595375,2.858416686283107,1.753447400603929,1
26,20201013,0.481746553848915,-0.22392663664585905,0.012893318319551778,1,1.621475096777485,-1.3039719524538462,1.5932696534977608,-1.3039719524538462,0.42089954442032784,-0.5017691343892853,1
27,20201014,0.135063481633025,-0.054741443865345005,0.010110325965224966,2,1.7051224609776607,-0.8482133123440724,0.6870804813255127,-0.8482133123440724,0.277516183134282,-0.422580574039205,1
28,20201015,-1.1232868785573962,-1.7912578219781017,-1.962990084726534,3,0.8671192723482014,0.19430474977091775,0.7017747021371378,0.19430474977091775,0.1341328218482362,-0.3456019270012201,0
29,20201016,0.1264782022357668,0.24392108883280852,0.2022603039916298,4,-0.3465777879179577,0.5528666956024841,0.5475200555414584,0.5528666956024841,0.7076662669924195,-0.3422870570330772,1
